admission_code,program_name,major_code,major_name,quota,admission_method,subject_combination
7580201_05,Kỹ thuật công trình biển,7580201,Kỹ thuật xây dựng,50,417,"VS1, VS2, VS3, VS4"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,100,"A00, A01, C01, D07, X06, X26"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,200,"A00, A01, C01, D07, X06, X26"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,301,TT
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,402,"K00, SP1, SP2, SP3"
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,415,
7510103,Công nghệ kỹ thuật xây dựng,7510103,Công nghệ kỹ thuật xây dựng,50,417,"VS1, VS2, VS3"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,100,"A00, A01, C01, D01, D07, X06"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,200,"A00, A01, C01, D01, D07, X06"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,301,TT
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,402,"K00, SP1, SP2, SP3, SP4"
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,415,
7580205_01,Xây dựng Cầu đường,7580205,Kỹ thuật xây dựng công trình Giao thông,150,417,"VS1, VS2, VS3, VS4"
7580205_02,Đường sắt tốc độ cao và đường sắt đô thị,7580205,Kỹ thuật xây dựng công trình Giao thông,50,100,"A00, A01, C01, D01, D07, X06"
7580205_02,Đường sắt tốc độ cao và đường sắt đô thị,7580205,Kỹ thuật xây dựng công trình Giao thông,50,200,"A00, A01, C01, D01, D07, X06"
7580205_02,Đường sắt tốc độ cao và đường sắt đô thị,7580205,Kỹ thuật xây dựng công trình Giao thông,50,301,TT
7580205_02,Đường sắt tốc độ cao và đường sắt đô thị,7580205,Kỹ thuật xây dựng công trình Giao thông,50,402,"K00, SP1, SP2, SP3, SP4"
7580205_02,Đường sắt tốc độ cao và đường sắt đô thị,7580205,Kỹ thuật xây dựng công trình Giao thông,50,415,
7580205_02,Đường sắt tốc độ cao và đường sắt đô thị,7580205,Kỹ thuật xây dựng công trình Giao thông,50,417,"VS1, VS2, VS3, VS4"
7580213_01,Kỹ thuật nước - Môi trường nước,7580213,Kỹ thuật Cấp thoát nước,100,100,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7580213_01,Kỹ thuật nước - Môi trường nước,7580213,Kỹ thuật Cấp thoát nước,100,200,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7580213_01,Kỹ thuật nước - Môi trường nước,7580213,Kỹ thuật Cấp thoát nước,100,301,TT
7580213_01,Kỹ thuật nước - Môi trường nước,7580213,Kỹ thuật Cấp thoát nước,100,402,"K00, SP1, SP2, SP3, SP5"
7580213_01,Kỹ thuật nước - Môi trường nước,7580213,Kỹ thuật Cấp thoát nước,100,415,
7580213_01,Kỹ thuật nước - Môi trường nước,7580213,Kỹ thuật Cấp thoát nước,100,417,"VS1, VS2, VS3, VS5"
7520320,Kỹ thuật Môi trường,7520320,Kỹ thuật Môi trường,50,100,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7520320,Kỹ thuật Môi trường,7520320,Kỹ thuật Môi trường,50,200,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7520320,Kỹ thuật Môi trường,7520320,Kỹ thuật Môi trường,50,301,TT
7520320,Kỹ thuật Môi trường,7520320,Kỹ thuật Môi trường,50,402,"K00, SP1, SP2, SP3, SP5"
7520320,Kỹ thuật Môi trường,7520320,Kỹ thuật Môi trường,50,415,
7520320,Kỹ thuật Môi trường,7520320,Kỹ thuật Môi trường,50,417,"VS1, VS2, VS3, VS5"
7520309,Kỹ thuật vật liệu,7520309,Kỹ thuật vật liệu,50,100,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7520309,Kỹ thuật vật liệu,7520309,Kỹ thuật vật liệu,50,200,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7520309,Kỹ thuật vật liệu,7520309,Kỹ thuật vật liệu,50,301,TT
7520309,Kỹ thuật vật liệu,7520309,Kỹ thuật vật liệu,50,402,"K00, SP1, SP2, SP3, SP5"
7520309,Kỹ thuật vật liệu,7520309,Kỹ thuật vật liệu,50,415,
7520309,Kỹ thuật vật liệu,7520309,Kỹ thuật vật liệu,50,417,"VS1, VS2, VS3, VS5"
7510105,Công nghệ kỹ thuật vật liệu xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng,100,100,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7510105,Công nghệ kỹ thuật vật liệu xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng,100,200,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
7510105,Công nghệ kỹ thuật vật liệu xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng,100,301,TT
7510105,Công nghệ kỹ thuật vật liệu xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng,100,402,"K00, SP1, SP2, SP3, SP5"
7510105,Công nghệ kỹ thuật vật liệu xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng,100,415,
7510105,Công nghệ kỹ thuật vật liệu xây dựng,7510105,Công nghệ kỹ thuật vật liệu xây dựng,100,417,"VS1, VS2, VS3, VS5"
7480201,Công nghệ thông tin,7480201,Công nghệ thông tin,250,100,"A00, A01, C01, D01, D07, X06, X26"
7480201,Công nghệ thông tin,7480201,Công nghệ thông tin,250,200,"A00, A01, C01, D01, D07, X06, X26"
7480201,Công nghệ thông tin,7480201,Công nghệ thông tin,250,301,TT
7480201,Công nghệ thông tin,7480201,Công nghệ thông tin,250,402,"K00, SP1, SP2, SP3, SP4"
7480201,Công nghệ thông tin,7480201,Công nghệ thông tin,250,415,
7480201,Công nghệ thông tin,7480201,Công nghệ thông tin,250,417,"VS1, VS2, VS3, VS4"
7480201_01,Công nghệ đa phương tiện,7480201,Công nghệ thông tin,100,100,"A00, A01, C01, D01, D07, X06, X26"
7480201_01,Công nghệ đa phương tiện,7480201,Công nghệ thông tin,100,200,"A00, A01, C01, D01, D07, X06, X26"
7480201_01,Công nghệ đa phương tiện,7480201,Công nghệ thông tin,100,301,TT
7480201_01,Công nghệ đa phương tiện,7480201,Công nghệ thông tin,100,402,"K00, SP1, SP2, SP3, SP4"
